service,metric,count,mean,min,max
auth,eps,51,0.2206917008716549,0.0,0.600054550413674
auth,error_ratio,51,0.22589368093736537,0.0,0.6111111111111112
auth,p95_latency,49,0.47687187718305313,0.4549999999999999,0.48359375
auth,rps,51,0.8628003603095216,0.0,1.0000909173561234
orders,eps,51,0.08628002631301775,0.0,0.1636452897430769
orders,error_ratio,51,0.08683113877106367,0.0,0.16363636363636364
orders,p95_latency,50,0.6617225855532907,0.3424999999999999,0.9644736842105264
orders,rps,51,0.8706439384095636,0.0,1.000109102811216
user,eps,51,0.07558418442205683,0.0,0.12728198414430142
user,error_ratio,51,0.08709037150213621,0.0,0.2
user,p95_latency,50,0.47890828036909583,0.47529411764705876,0.485
user,rps,51,0.8824090785606999,0.0,1.0000909173561234
